,0
0,AALR3
1,ABCB4
2,ABEV3
3,AESB3
4,AGRO3
6,ALPA4
7,ALUP11
8,AMAR3
9,AMBP3
10,ANIM3
11,ARML3
12,ARZZ3
13,ASAI3
14,AURE3
15,AZUL4
16,B3SA3
17,BBAS3
18,BBDC3
19,BBDC4
20,BBSE3
21,BEEF3
22,BHIA3
23,BLAU3
24,BMOB3
25,BPAC11
26,BPAN4
27,BRAP4
28,BRFS3
29,BRKM5
30,BRSR6
31,CAML3
32,CASH3
33,CBAV3
34,CCRO3
35,CEAB3
36,CIEL3
37,CMIG3
38,CMIG4
39,CMIN3
40,COGN3
41,CPFE3
42,CPLE6
43,CRFB3
44,CSAN3
45,CSMG3
46,CSNA3
47,CURY3
48,CVCB3
49,CXSE3
50,CYRE3
51,DASA3
52,DIRR3
53,DXCO3
54,ECOR3
55,EGIE3
56,ELET3
57,ELET6
58,EMBR3
59,ENAT3
60,ENEV3
61,ENGI11
62,EQTL3
63,ESPA3
64,EVEN3
65,EZTC3
66,FESA4
67,FLRY3
68,FRAS3
69,GFSA3
70,GGBR4
71,GGPS3
72,GMAT3
73,GOAU4
74,GRND3
75,GUAR3
76,HAPV3
77,HBSA3
78,HYPE3
79,IFCM3
80,IGTI11
81,INTB3
82,IRBR3
83,ITSA4
84,ITUB3
85,ITUB4
86,JALL3
87,JBSS3
88,JHSF3
89,KEPL3
90,KLBN11
91,LAVV3
92,LEVE3
93,LJQQ3
94,LOGG3
95,LREN3
96,LUPA3
97,LWSA3
98,MATD3
99,MBLY3
100,MDIA3
101,MGLU3
102,MILS3
103,MLAS3
104,MOVI3
105,MRFG3
106,MRVE3
107,MTRE3
108,MULT3
109,MYPK3
110,NEOE3
111,NTCO3
112,ODPV3
113,ONCO3
114,ORVR3
115,PCAR3
116,PETR3
117,PETR4
118,PETZ3
119,PGMN3
120,PLPL3
121,PNVL3
122,POMO4
123,POSI3
124,PRIO3
125,PSSA3
126,PTBL3
127,QUAL3
128,RADL3
129,RAIL3
130,RAIZ4
131,RANI3
132,RAPT4
133,RCSL3
134,RDOR3
135,RECV3
136,RENT3
137,ROMI3
138,RRRP3
139,SANB11
140,SAPR11
141,SBFG3
142,SBSP3
143,SEER3
144,SIMH3
145,SLCE3
146,SMFT3
147,SMTO3
148,SOMA3
149,SRNA3
150,STBP3
151,SUZB3
152,TAEE11
153,TASA4
154,TEND3
155,TGMA3
156,TIMS3
157,TOTS3
158,TRIS3
159,TRPL4
160,TTEN3
161,TUPY3
162,UGPA3
163,UNIP6
164,USIM5
165,VALE3
166,VAMO3
167,VBBR3
168,VIVA3
169,VIVT3
170,VLID3
171,VULC3
172,VVEO3
173,WEGE3
174,WIZC3
175,YDUQ3
176,ZAMP3
